CP,city,Province,Region,cases,pop,superf,lat,long,Incidence_rate,Density
11001,Aartselaar,Antwerpen,Flanders,2109,14455,11.018954505832,51.133297,4.3870241,0.145901072293324,1311.83044565157
11002,Antwerpen,Antwerpen,Flanders,85540,529417,204.316549815777,51.2211097,4.3997081,0.16157395776864,2591.1606302933
11004,Boechout,Antwerpen,Flanders,1928,13527,20.707981822595,51.1596941,4.51040686515,0.142529755304206,653.226379851288
11005,Boom,Antwerpen,Flanders,2840,18799,7.3816165954462,51.0873789,4.3667216,0.151071865524762,2546.73210900676
11007,Borsbeek,Antwerpen,Flanders,1690,11077,3.901306298244,51.1928907,4.488953,0.152568384941771,2839.30538983464
11008,Brasschaat,Antwerpen,Flanders,4849,38211,38.579984464381,51.2930933,4.489307,0.126900630708435,990.435857621413
11009,Brecht,Antwerpen,Flanders,4137,29809,91.46440799025,51.3347679,4.597238179,0.138783588849005,325.908193744365
11013,Edegem,Antwerpen,Flanders,3059,22244,8.717406926576,51.1574786,4.4384284,0.137520230174429,2551.67622520714
11016,Essen,Antwerpen,Flanders,2571,19196,47.569794262882,51.4677957,4.4701309,0.133934152948531,403.533382842027
11018,Hemiksem,Antwerpen,Flanders,1791,11722,5.4804405898721,51.1442105,4.3420555,0.152789626343627,2138.87912983901
11021,Hove (Antwerpen),Antwerpen,Flanders,1002,8287,6.017998040453,51.1486117,4.477387,0.120912272233619,1377.03600836936
11022,Kalmthout,Antwerpen,Flanders,2418,19020,59.409144712723,51.3832723,4.4763255,0.127129337539432,320.152732243033
11023,Kapellen (Antwerpen),Antwerpen,Flanders,3547,27157,37.222621721063,50.88734525,4.96087761898,0.130610892219317,729.583214301984
11024,Kontich,Antwerpen,Flanders,2748,21260,23.800522686732,51.134377,4.4456359,0.129256820319849,893.257693531737
11025,Lint,Antwerpen,Flanders,1128,8575,5.650633432317,51.1268305,4.4922187,0.131545189504373,1517.52898196475
11029,Mortsel,Antwerpen,Flanders,3698,26170,7.7842256064782,51.1741789,4.4593335,0.141306839893007,3361.9272260327
11030,Niel,Antwerpen,Flanders,1626,10493,5.34641286289,51.1098649,4.3303396,0.154960449823692,1962.62433693308
11035,Ranst,Antwerpen,Flanders,2521,19249,43.673209446898,51.1961732,4.5637563614,0.130967842485324,440.750754152949
11037,Rumst,Antwerpen,Flanders,2217,15146,20.150385648659,51.0792853,4.4240472,0.146375280602139,751.648145305247
11038,Schelle,Antwerpen,Flanders,1245,8559,7.8255356048485,51.1245635,4.3361875,0.145460918331581,1093.72705360858
11039,Schilde,Antwerpen,Flanders,2731,19925,36.089228514398,51.257095,4.59551573599,0.137063989962359,552.103794406434
11040,Schoten,Antwerpen,Flanders,4399,34291,29.510232703924,51.2516344,4.4980446,0.128284389489954,1162.00371389956
11044,Stabroek,Antwerpen,Flanders,2374,18680,21.422190501412,51.33518735,4.37031201604,0.127087794432548,871.992992442521
11050,Wijnegem,Antwerpen,Flanders,1511,10084,7.88358259961,51.2270761,4.5225318,0.149841332804443,1279.11388922326
11052,Wommelgem,Antwerpen,Flanders,1952,12991,12.993627155788,51.2031044,4.5238022,0.150257870833654,999.797811976864
